Date;Open;High;Low;Close*;Adj Close**;Volume
14/12/2021;71.12;72.03;69.51;70.73;70.73;359,454
13/12/2021;72.04;73.00;70.71;71.29;71.29;406,604
10/12/2021;70.68;72.33;70.32;71.67;71.67;397,883
09/12/2021;72.52;73.34;70.39;70.94;70.94;393,205
08/12/2021;71.86;73.00;70.91;72.36;72.36;464,846
07/12/2021;69.72;73.03;69.52;72.05;72.05;496,528
06/12/2021;67.02;70.15;66.72;69.49;69.49;401,060
03/12/2021;67.50;69.22;65.60;66.26;66.26;449,974
02/12/2021;65.63;67.49;62.43;66.50;66.50;668,293
01/12/2021;67.01;69.49;64.84;65.57;65.57;602,447
30/11/2021;70.04;71.22;64.43;66.18;66.18;722,475
29/11/2021;69.23;72.93;68.86;69.95;69.95;675,090
26/11/2021;78.34;78.65;67.40;68.15;68.15;844,630
25/11/2021;78.34;78.65;77.76;78.03;78.03;328,848
24/11/2021;78.48;79.23;77.98;78.39;78.39;328,848
23/11/2021;76.46;78.86;75.30;78.50;78.50;506,987
22/11/2021;75.75;77.16;74.76;76.75;76.75;465,768
19/11/2021;78.76;79.92;75.37;76.10;76.10;623,448
18/11/2021;78.34;79.36;77.08;79.01;79.01;83,984
17/11/2021;80.54;80.69;77.69;78.36;78.36;174,471
16/11/2021;80.93;81.81;80.03;80.76;80.76;325,668
15/11/2021;80.66;81.20;79.30;80.88;80.88;343,484
12/11/2021;81.21;81.62;79.78;80.79;80.79;390,304
11/11/2021;81.41;82.33;80.20;81.59;81.59;475,436
10/11/2021;84.53;84.97;80.81;81.34;81.34;555,215
09/11/2021;82.16;84.63;81.78;84.15;84.15;504,832
08/11/2021;81.13;82.67;81.05;81.93;81.93;393,953
05/11/2021;79.37;81.80;78.96;81.27;81.27;531,054
04/11/2021;80.18;83.42;78.25;78.81;78.81;701,119
03/11/2021;83.07;83.08;79.69;80.86;80.86;546,577
02/11/2021;83.87;84.41;82.92;83.91;83.91;429,608
01/11/2021;83.36;84.88;82.74;84.05;84.05;412,309
29/10/2021;83.09;83.74;81.41;83.57;83.57;507,309
28/10/2021;82.25;83.21;80.58;82.81;82.81;491,585
27/10/2021;84.39;84.51;82.01;82.66;82.66;529,952
26/10/2021;83.72;84.88;82.97;84.65;84.65;467,716
25/10/2021;83.98;85.41;83.39;83.76;83.76;568,725
22/10/2021;82.61;84.22;81.76;83.76;83.76;465,355
21/10/2021;83.58;83.96;80.79;82.50;82.50;567,503
20/10/2021;83.34;84.25;81.30;83.87;83.87;530,693
19/10/2021;82.37;83.74;81.80;82.96;82.96;82,607
18/10/2021;82.60;83.87;81.84;82.44;82.44;134,098
15/10/2021;81.48;82.66;81.39;82.28;82.28;277,953
14/10/2021;80.59;81.68;80.38;81.31;81.31;399,813
13/10/2021;80.58;81.04;79.42;80.44;80.44;487,220
12/10/2021;80.50;81.62;79.47;80.64;80.64;598,181
11/10/2021;79.59;82.18;79.55;80.52;80.52;653,756
08/10/2021;78.86;80.11;78.63;79.35;79.35;662,010
07/10/2021;77.00;78.89;74.96;78.30;78.30;545,008
06/10/2021;79.04;79.78;76.83;77.43;77.43;459,055
05/10/2021;77.58;79.48;77.47;78.93;78.93;449,617
04/10/2021;75.90;78.38;75.32;77.62;77.62;458,006
01/10/2021;75.12;75.99;74.23;75.88;75.88;388,996
30/09/2021;74.78;76.07;73.14;75.03;75.03;583,189
29/09/2021;74.38;75.79;73.74;74.83;74.83;424,193
28/09/2021;75.43;76.67;74.24;75.29;75.29;476,143
27/09/2021;74.19;75.75;74.16;75.45;75.45;417,829
24/09/2021;73.24;74.27;72.81;73.98;73.98;350,382
23/09/2021;71.97;73.50;71.61;73.30;73.30;403,405
22/09/2021;70.85;72.30;70.64;72.23;72.23;381,061
21/09/2021;70.59;71.63;69.67;70.56;70.56;393,403
20/09/2021;71.92;72.08;69.86;70.29;70.29;75,837
17/09/2021;72.62;72.72;71.21;71.97;71.97;119,933
16/09/2021;72.65;72.99;71.53;72.61;72.61;298,412
15/09/2021;70.76;73.14;70.65;72.61;72.61;418,665
14/09/2021;70.64;71.22;69.98;70.46;70.46;414,231
13/09/2021;69.74;70.97;69.51;70.45;70.45;390,939
10/09/2021;67.97;69.96;67.68;69.72;69.72;411,079
09/09/2021;69.36;69.89;67.56;68.14;68.14;556,451
08/09/2021;68.37;69.75;68.31;69.30;69.30;389,325
